                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2986,                 1.5412,                 2.0457,                 1.1172,                  0.582,                0.51502,                0.54961,                0.37763,                0.54935,                 0.4636,                0.49058,                0.20373,                 1.2755,                 1.5152,                 1.1579,                 1.1278,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.2816,                  1.517,                 1.1365,                 1.1162,                0.58321,                0.52043,                 0.5504,                0.37996,                0.52382,                  0.456,                0.46686,                 0.1916,                 1.2299,                 1.5036,                  1.144,                 1.1096,              0.0018482,              0.0018482,              0.0018482
                     26,                  1.232,                 1.4731,                 1.5123,                 1.0912,                0.56317,                0.49335,                0.52314,                 0.3461,                0.53666,                0.44896,                 0.4769,                0.20875,                 1.3416,                 1.5582,                 1.2235,                 1.1462,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3397,                 1.5368,                 1.2806,                 1.1293,                0.54508,                0.49135,                0.50747,                 0.3299,                0.50066,                0.43118,                0.43533,                  0.169,                 1.3234,                 1.6611,                 1.2392,                 1.1422,               0.001835,               0.001835,               0.001835
                     28,                 1.2856,                 1.5312,                 1.2329,                 1.1085,                0.57249,                0.51872,                 0.5459,                0.38024,                0.53887,                0.46168,                0.48819,                0.20805,                 1.2408,                 1.5315,                 1.1551,                 1.1229,              0.0018284,              0.0018284,              0.0018284
                     29,                  1.301,                  1.521,                 1.1527,                  1.111,                0.58633,                0.50418,                0.53998,                0.37065,                0.53361,                0.44611,                0.46373,                0.19208,                 1.2493,                 1.5117,                 1.1467,                 1.1264,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.2517,                 1.4852,                 1.1299,                 1.1042,                0.56399,                0.52357,                0.54722,                0.38773,                0.52324,                 0.4531,                 0.4718,                0.19882,                 1.2385,                 1.4793,                 1.1516,                 1.1154,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.2581,                 1.4936,                 1.1485,                 1.1009,                0.58295,                0.51863,                0.55137,                0.39276,                0.54496,                0.46221,                0.49054,                0.21305,                 1.1856,                 1.4568,                 1.1163,                 1.1005,              0.0018086,              0.0018086,              0.0018086
                     32,                  1.201,                  1.453,                 1.0927,                 1.0719,                0.56904,                0.52766,                0.55285,                0.36809,                0.54857,                0.47586,                 0.5039,                0.21546,                 1.2577,                 1.5263,                 1.1183,                 1.1078,               0.001802,               0.001802,               0.001802
                     33,                 1.2225,                 1.4514,                 1.6176,                 1.0874,                 0.5831,                0.49648,                0.53445,                0.36676,                0.53905,                0.43645,                0.46095,                0.19442,                  1.242,                 1.5302,                 1.4058,                 1.1278,              0.0017954,              0.0017954,              0.0017954
