                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.53399,                0.82648,                0.45941,                0.93505,                 0.8761,                0.85286,                0.92176,                0.79891,                0.88179,                0.86046,                0.92299,                0.66304,                0.55101,                0.81781,                 0.5119,                0.97463,               0.009175,               0.009175,               0.009175
                     27,                0.53474,                0.83248,                0.45744,                0.93372,                 0.8746,                0.85204,                0.91849,                0.79474,                0.88096,                0.85747,                0.91806,                0.65872,                0.54947,                0.82995,                0.51329,                0.97201,               0.009142,               0.009142,               0.009142
                     28,                0.53323,                0.82957,                0.45757,                0.92958,                0.87722,                0.85087,                0.91926,                 0.7959,                0.87844,                0.86091,                0.91942,                0.65679,                0.55038,                0.81409,                0.51159,                0.97249,               0.009109,               0.009109,               0.009109
                     29,                0.52923,                0.82226,                0.45364,                0.93138,                0.87595,                0.85824,                0.92047,                 0.8019,                0.88045,                0.86719,                0.92149,                0.66305,                0.53406,                0.81001,                0.50785,                 0.9674,               0.009076,               0.009076,               0.009076
                     30,                0.52901,                0.82702,                0.45965,                0.93185,                0.88199,                0.85714,                0.92151,                0.80117,                0.88793,                0.86367,                 0.9212,                0.66246,                0.54079,                0.81134,                 0.5022,                0.96667,               0.009043,               0.009043,               0.009043
                     31,                0.52759,                0.82037,                 0.4527,                0.92917,                0.87797,                0.85652,                0.91993,                0.80006,                0.88567,                0.86337,                0.92126,                 0.6644,                0.53853,                0.81836,                0.50973,                 0.9704,                0.00901,                0.00901,                0.00901
                     32,                0.52494,                0.82003,                0.45074,                0.93032,                0.87782,                0.85369,                0.91956,                0.79942,                0.88434,                0.86032,                0.91958,                0.66004,                0.54186,                0.82447,                0.51021,                0.97266,               0.008977,               0.008977,               0.008977
                     33,                0.52562,                0.81879,                0.44762,                0.92973,                0.87927,                0.85756,                0.92133,                0.80253,                0.88571,                0.86425,                0.92133,                0.66357,                0.53656,                0.81889,                0.50873,                 0.9689,               0.008944,               0.008944,               0.008944
                     34,                0.52192,                  0.815,                0.44326,                0.92637,                0.88327,                 0.8574,                 0.9228,                0.80458,                0.88901,                0.86486,                0.92514,                0.66387,                0.53542,                0.81021,                0.49857,                0.96675,               0.008911,               0.008911,               0.008911
                     35,                0.52566,                0.81671,                0.44429,                0.93087,                0.88167,                0.85626,                0.92186,                0.80233,                0.88562,                0.86441,                0.92216,                0.66098,                0.53539,                0.81576,                0.49374,                0.97119,               0.008878,               0.008878,               0.008878
                     36,                0.52079,                0.81267,                0.44295,                0.92841,                0.88242,                0.85961,                0.92256,                0.80489,                0.88861,                0.86654,                0.92314,                0.66408,                0.53328,                0.81148,                0.49116,                0.97023,               0.008845,               0.008845,               0.008845
                     37,                0.51706,                0.80643,                0.43843,                0.92431,                0.88839,                0.85559,                0.92355,                0.80546,                0.89042,                0.86393,                0.92261,                 0.6646,                0.53331,                0.81179,                0.49338,                0.97164,               0.008812,               0.008812,               0.008812
                     38,                0.51786,                0.81067,                0.43736,                0.92224,                0.88414,                0.86185,                0.92556,                0.80946,                 0.8893,                0.86828,                0.92564,                0.66882,                0.52585,                0.80733,                0.48626,                0.96524,               0.008779,               0.008779,               0.008779
                     39,                0.51706,                0.80632,                0.43761,                0.92185,                0.88296,                0.86149,                0.92358,                 0.8084,                0.89006,                0.86705,                0.92435,                0.66934,                0.52751,                0.80565,                0.48545,                0.96759,               0.008746,               0.008746,               0.008746
                     40,                0.51272,                0.80295,                0.43203,                0.92145,                 0.8876,                0.86013,                0.92362,                0.80796,                0.89319,                 0.8663,                0.92472,                0.66791,                0.53182,                0.81178,                 0.4893,                0.97016,               0.008713,               0.008713,               0.008713
                     41,                0.51164,                0.80623,                0.43257,                0.92029,                0.88813,                 0.8587,                0.92326,                0.80846,                0.89442,                0.86513,                0.92403,                0.66825,                0.52923,                0.81141,                0.48544,                0.97001,                0.00868,                0.00868,                0.00868
                     42,                0.51469,                0.80404,                0.43011,                0.92199,                0.88983,                 0.8597,                0.92475,                0.81125,                0.89645,                 0.8661,                0.92497,                0.67231,                0.52433,                0.80767,                0.48468,                0.96521,               0.008647,               0.008647,               0.008647
                     43,                0.51262,                0.80334,                0.43109,                 0.9233,                0.88865,                0.86042,                0.92487,                0.81168,                0.89262,                0.86964,                0.92565,                 0.6726,                 0.5234,                0.80836,                0.48137,                0.96699,               0.008614,               0.008614,               0.008614
                     44,                0.50877,                0.79792,                 0.4239,                0.92122,                0.88921,                0.86243,                0.92505,                0.81166,                0.89613,                0.86793,                0.92602,                0.67197,                0.52289,                0.80263,                0.47855,                0.96739,               0.008581,               0.008581,               0.008581
                     45,                0.50745,                 0.7991,                0.42707,                0.92108,                0.89277,                0.85928,                0.92594,                0.81261,                0.89224,                0.87202,                0.92638,                 0.6721,                0.52018,                0.80116,                0.47779,                0.96624,               0.008548,               0.008548,               0.008548
                     46,                0.50839,                0.79485,                0.42296,                0.91756,                0.88826,                0.86526,                0.92598,                0.81356,                0.89575,                0.87219,                0.92665,                0.67331,                0.52149,                0.80179,                0.47328,                0.96727,               0.008515,               0.008515,               0.008515
                     47,                0.51075,                0.79709,                0.42575,                0.91879,                0.89341,                0.86071,                0.92509,                0.81309,                0.90107,                0.86809,                0.92645,                0.67403,                0.52034,                0.80179,                0.47198,                0.96631,               0.008482,               0.008482,               0.008482
                     48,                0.50719,                0.79391,                0.42219,                0.92017,                0.89127,                 0.8624,                0.92548,                0.81392,                0.89912,                   0.87,                0.92654,                0.67474,                0.51914,                0.80065,                0.47148,                0.96525,               0.008449,               0.008449,               0.008449
                     49,                0.50522,                0.79243,                0.42258,                0.91934,                0.89235,                0.86448,                0.92586,                 0.8143,                0.90053,                0.86985,                0.92591,                0.67557,                0.51768,                0.80042,                0.46948,                0.96539,               0.008416,               0.008416,               0.008416
