                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2546,                0.53488,                0.21151,                0.82752,                0.90379,                0.84404,                0.90749,                0.81379,                0.91006,                0.84989,                0.90975,                0.67893,                    inf,                0.88856,                0.56231,                 1.0021,              0.0033303,              0.0033303,              0.0033303
                      2,                 0.3016,                0.57795,                0.25258,                0.83917,                0.88082,                 0.8165,                0.87964,                0.75661,                0.88438,                0.82072,                0.88009,                0.61348,                0.60235,                  1.002,                0.61527,                 1.0665,              0.0066527,              0.0066527,              0.0066527
                      3,                 0.3878,                0.68046,                 0.3318,                0.87215,                0.84886,                0.80874,                0.87612,                 0.7337,                0.85496,                0.81455,                0.87689,                0.60041,                0.61615,                 0.9493,                0.68301,                 1.0452,               0.009964,               0.009964,               0.009964
                      4,                0.50506,                0.81593,                0.45476,                0.92447,                0.83498,                0.82566,                0.89137,                0.74812,                0.84157,                0.83284,                0.89358,                0.61218,                0.62309,                0.93644,                0.63799,                 1.0109,              0.0099505,              0.0099505,              0.0099505
                      5,                0.53331,                0.84451,                0.48884,                0.93631,                0.81369,                0.80824,                0.86529,                0.71252,                 0.8203,                 0.8148,                 0.8664,                0.56951,                0.65369,                0.98412,                0.68595,                 1.0458,               0.009934,               0.009934,               0.009934
                      6,                0.53575,                0.84259,                0.48621,                0.94136,                0.84527,                0.82321,                0.89024,                0.74597,                0.84547,                0.83263,                 0.8882,                0.60355,                0.61242,                 0.9085,                0.59616,                  1.012,              0.0099175,              0.0099175,              0.0099175
                      7,                0.54193,                0.84394,                0.48928,                0.94056,                0.84448,                0.82066,                0.89163,                0.74844,                0.84755,                0.82839,                0.89343,                0.61432,                0.61352,                0.93483,                 0.6124,                 1.0111,               0.009901,               0.009901,               0.009901
                      8,                0.54097,                0.84233,                0.48542,                0.93941,                0.82815,                0.79789,                0.87416,                0.72502,                0.83171,                0.80461,                0.87045,                0.57525,                0.65258,                0.98995,                0.65521,                 1.0331,              0.0098845,              0.0098845,              0.0098845
                      9,                 0.5382,                0.83416,                0.47988,                0.93797,                0.84197,                0.81994,                0.88736,                0.74433,                0.84666,                0.82539,                0.88764,                0.60288,                0.61788,                0.90639,                0.61577,                 1.0272,               0.009868,               0.009868,               0.009868
                     10,                0.53606,                0.83217,                0.47981,                0.93683,                0.85907,                0.82651,                0.89974,                0.75939,                0.86239,                0.83174,                 0.8973,                0.61299,                0.59966,                0.92547,                0.58542,                 1.0141,              0.0098515,              0.0098515,              0.0098515
